STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2012-12,93.4,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-01,94.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-02,94.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-03,93.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-04,93.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-05,94.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-06,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-07,93.7,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-08,93.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-09,93.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-10,93.8,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-11,93.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2013-12,93.6,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2014-01,93.9,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2014-02,94.0,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2014-03,94.2,i,
dataflow,ESTAT:STS_TRLB_M(1.0),M,EMP,G46,SCA,I21,DE,2014-04,94.4,i,
